YouMind案例ID,标题,公开原帖链接,最终下载报错,原视频链接
9837,Handheld POV Nighttime Taxi Video,https://x.com/heyyorone/status/2092386861826404597,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2092381960060760064/vid/avc1/720x1280/IrIaQGLP1n_TQ8hD.mp4?tag=14
8153,Gym Workout DV POV Recording,https://x.com/PixelAigc/status/2082767404061642791,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2082767144501280768/vid/avc1/1256x720/BaUs6KV7e1vlIqAR.mp4?tag=29
10584,高山冬日 Vlog 剪辑,https://x.com/eshal__ai/status/2097564912851759244,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2097564485687078912/vid/avc1/1280x720/ieanrRBq03HTGflN.mp4?tag=29
10404,Cinematic Street Fashion Yellow Dress,https://x.com/imagvio_trends/status/2096370558560788591,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2096370505649717248/vid/avc1/1080x608/MYIuF5NYH1p5_W6n.mp4?tag=29
10400,2000s Retro Cat Sitcom,https://x.com/ShanBuildsAI/status/2096371426790125642,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2096371356690755584/vid/avc1/1112x834/uAERUcf6LQw39ULV.mp4?tag=29
8636,Outcome-Focused Product Commercial Workflow,https://x.com/ShanBuildsAI/status/2085412494642958683,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2085412440708423680/vid/avc1/720x1136/m7OQ9q6DaZPxIWlc.mp4?tag=29
8635,Luxury Smartwatch Product Commercial,https://x.com/ShanBuildsAI/status/2085401238716527068,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2085401202150584320/vid/avc1/1280x720/1Ey0CxfUHgflUovF.mp4?tag=29
8630,Superhero Cat Futuristic City,https://x.com/imagvio_trends/status/2085352389973082321,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2085352370603773952/vid/avc1/710x1278/cNR6LjqxfNEyZLiq.mp4?tag=29
8563,Cinematic Camera Movement Keywords,https://x.com/imagvio_video/status/2084952082902294812,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2084952063486861312/vid/avc1/540x840/2MtqIjPyHc_F7Ehe.mp4?tag=29
8503,Travel Diary Montage of Kyoto and Tokyo,https://x.com/reapi_ai/status/2084537882870735243,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2084537829884141568/vid/avc1/864x496/TyXmIWWKVN8-Mb0i.mp4?tag=29
8301,Cinematic Jet Ski Water Skiing Video,https://x.com/PixelAigc/status/2083502217227894833,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2083501931960610816/vid/avc1/1256x720/CZ2Srpvv8cGYo56A.mp4?tag=29
7780,Futuristic Crystalline AI Creature Interaction,https://x.com/Lily_collins3/status/2080157968813699446,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2080157936224202752/vid/avc1/1280x720/SDn7CYABTtwY_aV_.mp4?tag=29
7720,Lost Map Courier Mountain Bike Adventure,https://x.com/lucas_yuoo/status/2079829843815076058,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2079828251061698560/vid/avc1/1280x720/uH0EAz9hgGfMc_1Z.mp4?tag=29
7489,Medieval Warrior Last Stand Cinematic Video,https://x.com/lucas_yuoo/status/2078431400169185745,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2078430846147858432/vid/avc1/1280x720/twqyrAfEz-cISRPc.mp4?tag=29
7341,Fantasy Dragon Chase Sequence,https://x.com/Ececec01/status/2077717383020511501,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2077672227714252800/vid/avc1/1920x1080/PbYzCl0OC3MThjdE.mp4?tag=29
7299,Talking Munchkin Cat,https://x.com/__blackpig/status/2077409707279687929,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2077403816849551363/vid/avc1/1080x1440/syM1mO3rRLbs0kwG.mp4?tag=28
7279,Dark Fantasy Frozen Bridge,https://x.com/lucas_yuoo/status/2077401456311726295,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2077400354325667840/vid/avc1/1280x720/uiGt2f5KM6dVF65D.mp4?tag=28
7110,Fearless Warrior Cursed Forest Chase,https://x.com/ThissSophie/status/2075497351423386108,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2075496508640972800/vid/avc1/1920x1080/fZn_BjsnNwhXLxa6.mp4?tag=28
7098,The Street Barber Emotional Story,https://x.com/lucas_yuoo/status/2075952693248663671,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2075951571708608512/vid/avc1/1280x720/hyG3sB_7XNUCfCgx.mp4?tag=28
6267,Origami Football Match Narrative,https://x.com/AIwithJessica/status/2068134755301052732,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2068080596153483265/vid/avc1/1920x1080/N0Qwmku9zO3qYUAK.mp4?tag=28
6038,Cinematic Football Vlog Influencer Video,https://x.com/AIwithJessica/status/2066040197486424315,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2066040088170209280/vid/avc1/1920x2160/aDXjsUkzKx3IvD7x.mp4?tag=27
5748,Nike Mercurial Commercial with Reference,https://x.com/AIwithJessica/status/2063087473522258178,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2062985526026940416/vid/avc1/1080x1350/aAc0o4uzQauAjMZv.mp4?tag=27
5523,Mystery Horror Scene Transition,https://x.com/UDAIseries/status/2061110790510248150,HTTP Error 403: Forbidden,"https://video.twimg.com/amplify_video/2061109966568624128/vid/avc1/1280x720/asKot3Sc3v2f5bxI.mp4?tag=27
https://video.twimg.com/amplify_video/2061109966400876546/vid/avc1/1924x1076/WFrWmBZ64vdYCV_u.mp4?tag=27"
5492,Eiffel Tower Gemstone Embellishment,https://x.com/ThissSophie/status/2060667591333744769,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2060667321090539520/pu/vid/avc1/1280x720/4q1eNZhSaAw1M6tV.mp4?tag=25
5371,Titanic Cinematic Sequence,https://x.com/akkiwani703/status/2060015015525294374,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2060014975561891840/pu/vid/avc1/1280x720/Rr9SOx3pUDna7yKO.mp4?tag=25
5345,Prehistoric Titan Dinosaur Battle,https://x.com/akkiwani703/status/2059590770987069684,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2059590711331409920/pu/vid/avc1/1920x1080/WvSqF-cSAfEUe57b.mp4?tag=25
5114,3D Chibi Penguin Girl Butterfly Chase,https://x.com/ElaraNoorAl8/status/2057429577216270613,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2057429552419483648/pu/vid/avc1/848x478/x2ALKccCoTIjpdHm.mp4?tag=25
4870,Ancient Fantasy War Cinematic Battle,https://x.com/ElaraNoorAl8/status/2055550441090650611,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2055550409956294657/pu/vid/avc1/478x850/YrIxhnS4wBXNuUmU.mp4?tag=25
4500,Quiet Forest Traveler,https://x.com/HeyRu0by/status/2053057650838085847,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2053057599898103808/pu/vid/avc1/1280x720/xyZMeVWws5Nui4Fw.mp4?tag=12
