YouMind案例ID,标题,公开原帖链接,视频数量,视频字节数,封面字节数,原视频链接
10956,桌面破屏视频,https://x.com/TanLuAI/status/2100405863123173606,1,5892383,29488,https://video.twimg.com/amplify_video/2100404208872919040/vid/avc1/1920x1080/T5EE4CRs2F4PSH-V.mp4?tag=29
10955,韩国武术女战士肖像,https://x.com/AIwithMinal/status/2100444829880914240,1,6257286,17205,https://video.twimg.com/amplify_video/2100444654605070336/vid/avc1/1280x548/CklZeO8tP7fFJ-t9.mp4?tag=29
10954,巴黎时尚变身视频,https://x.com/ayzalnooor24521/status/2100456445900710158,1,2286676,18229,https://video.twimg.com/amplify_video/2100456398144647168/vid/avc1/1280x720/zrqoahK1zhCAQnOh.mp4?tag=29
10953,与小虎猫伴侣野餐,https://x.com/AIwithMinal/status/2100101484960731456,1,3106794,21112,https://video.twimg.com/amplify_video/2100101335601577984/vid/avc1/1280x720/-L2JZ-oh_rBzmdDZ.mp4?tag=29
10952,韩国发薪日 Vlog,https://x.com/Noor_ul_ain43/status/2100452341996728475,1,24206279,24003,https://video.twimg.com/amplify_video/2100452060642852864/vid/avc1/1920x1080/qrwuBA3FMNKuvvcY.mp4?tag=29
10951,韩国夏日 Vlog,https://x.com/aiwithaayat/status/2100423982898115050,1,3558294,20108,https://video.twimg.com/amplify_video/2100423624889114624/vid/avc1/1252x720/VIWcMRGwWBefouMK.mp4?tag=29
10950,剑客对决暗影兽群,https://x.com/bmx_ai13/status/2100296271311553014,1,2035406,21120,https://video.twimg.com/amplify_video/2100296217251233792/vid/avc1/1280x720/54PTd3lJXep43nIG.mp4?tag=29
10949,龙战,https://x.com/Aiwithmaha/status/2100417339716141116,1,3147520,20107,https://video.twimg.com/amplify_video/2100417296351346688/vid/avc1/1280x720/VH8b8QObMRpo4XIh.mp4?tag=29
10909,无人机拍摄路径转,https://x.com/agi_aibusi/status/2100054530457252147,1,3853165,19239,https://video.twimg.com/amplify_video/2100003201902899200/vid/avc1/1080x1440/OLWIqP8EErI6pIgJ.mp4?tag=29
10908,火山肥皂炸弹,https://x.com/TanLuAI/status/2100013757779099770,1,3855525,53363,https://video.twimg.com/amplify_video/2100013356858155008/vid/avc1/720x1280/EQ-SCOZtvVmXOg4P.mp4?tag=29
10906,搞笑鹅猫追逐,https://x.com/Dheepanratnam/status/2099966300961554796,1,3381988,35008,https://video.twimg.com/amplify_video/2099966059625226240/vid/avc1/720x1280/YJ31HdAG6fxmRB2K.mp4?tag=29
10905,雨夜追逐电影感,https://x.com/Lianaalane/status/2100088243492385019,1,4929647,10183,https://video.twimg.com/amplify_video/2100087659473625088/vid/avc1/1280x720/WaCyuLTiqQBq8ILU.mp4?tag=29
10904,韩系晨间美容日常,https://x.com/aiwithaayat/status/2100070781174907387,1,4343222,14563,https://video.twimg.com/amplify_video/2100070451032821762/vid/avc1/1280x720/aRUSgC3KhZavDG13.mp4?tag=29
10903,奇幻冒险少女与狼崽,https://x.com/ayzalnooor24521/status/2100036712873488488,1,3818806,25306,https://video.twimg.com/amplify_video/2100036366558208000/vid/avc1/1280x720/I--De4JpKK_ZBnt6.mp4?tag=29
